,subject,session,task,run,space,directory,fullpath,edgefrac,hfc,gmp
21,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3950066784550021,0.6175438596491228,0.3652024117140396
22,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3672423115936636,0.1473684210526316,0.4908695652173913
23,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3631307900442025,0.45614035087719296,0.27915518824609736
24,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3051735081992532,0.16140350877192983,0.5943847072879331
25,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3087318534449635,0.16140350877192983,0.5758308157099697
26,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3766361453548947,0.6175438596491228,0.3073286052009456
27,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.338043854248497,0.47017543859649125,0.31622746185852985
28,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3747392275861649,0.45614035087719296,0.45516304347826086
29,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3689659105876895,0.6385964912280703,0.34647201946472017
30,01,,1back,,MNI152NLin6Asym,sub-01_task-1back_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_task-1back_space-MNI152NLin6Asym_melodic,0.3545522390231929,0.10526315789473684,0.45243619489559167
