,subject,session,task,run,space,directory,fullpath,edgefrac,hfc
19,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.21552338441958982,0.27941176470588236
20,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.2102117420498009,0.3970588235294118
21,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.18629218450443966,0.2058823529411765
22,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.22933070760973792,0.058823529411764705
23,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.14642532827374943,0.3970588235294118
24,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.18910744557922526,0.16176470588235295
25,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.20439585228610374,0.5735294117647058
26,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.16395759319526035,0.3088235294117647
27,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.16567821178860756,0.3235294117647059
28,01,,SESS01,,MNI152NLin6Asym,sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin6Asym_melodic,0.19741667821534511,0.6911764705882353
