,subject,session,run,task,space,directory,fullpath,edgefrac,hfc
18,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.4292359872545972,0.6526315789473685
19,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.36953936373323604,0.07017543859649122
20,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3765287694426456,0.12631578947368421
21,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.37845864605038765,0.4842105263157895
22,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.30962835386800314,0.11228070175438597
23,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.2965312789211422,0.13333333333333336
24,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.39597027084758896,0.6385964912280703
25,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3194360336087994,0.16140350877192983
26,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.2986700217883559,0.1192982456140351
27,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.36652028795718,0.11228070175438597
28,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.33883534963381545,0.45614035087719296
29,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.2968811906043742,0.18947368421052632
30,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3579435604434224,0.1543859649122807
31,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.32950674482365855,0.43508771929824563
32,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3532343923365892,0.24561403508771928
33,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.27866662508473283,0.18947368421052632
34,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.29075515087351667,0.0912280701754386
35,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3327590084956063,0.28771929824561404
