,subject,session,run,task,space,directory,fullpath,edgefrac,hfc
17,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.39549970178742705,0.14054054054054055
18,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.4036652577206317,0.2054054054054054
19,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.483668535695957,0.4432432432432432
20,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.44955607470876985,0.4972972972972973
21,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.4095768803107937,0.14054054054054055
22,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.43710415828575244,0.4108108108108108
23,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.45183772711760845,0.12972972972972974
24,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.4093182972999353,0.32432432432432434
25,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.434048142527715,0.4
26,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.4644660564894895,0.4648648648648649
27,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.4117747396992827,0.1945945945945946
28,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.42072399674404926,0.14054054054054055
29,01,,1,emotionalfaces,MNI152NLin6Asym,sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/emotion_category/ds003548/derivatives/melodic/sub-01/sub-01_task-emotionalfaces_run-1_space-MNI152NLin6Asym_melodic,0.4110921648399665,0.3675675675675676
